省份,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日治愈
湖北,2020-04-04 08:34:50,834,67803,63762,3207,1,0
香港,2020-04-04 08:34:50,668,845,173,4,0,0
台湾,2020-04-04 08:34:50,293,348,50,5,0,0
上海,2020-04-04 08:34:50,175,529,348,6,3,0
北京,2020-04-04 08:34:50,141,583,434,8,0,0
广东,2020-04-04 08:34:50,138,1514,1368,8,0,0
福建,2020-04-04 08:34:50,48,349,300,1,0,0
内蒙古,2020-04-04 08:34:50,42,117,74,1,0,0
天津,2020-04-04 08:34:50,37,180,140,3,0,0
澳门,2020-04-04 08:34:50,32,42,10,0,0,0
浙江,2020-04-04 08:34:50,31,1260,1228,1,0,0
江苏,2020-04-04 08:34:50,19,651,632,0,0,0
山东,2020-04-04 08:34:50,17,778,754,7,0,0
辽宁,2020-04-04 08:34:50,15,141,124,2,0,0
四川,2020-04-04 08:34:50,15,555,537,3,0,0
云南,2020-04-04 08:34:50,10,184,172,2,0,0
河北,2020-04-04 08:34:50,10,326,310,6,0,0
陕西,2020-04-04 08:34:50,8,255,244,3,0,0
黑龙江,2020-04-04 08:34:50,7,489,469,13,0,0
吉林,2020-04-04 08:34:50,5,98,92,1,0,0
甘肃,2020-04-04 08:34:50,5,138,131,2,0,0
山西,2020-04-04 08:34:50,4,137,133,0,0,0
河南,2020-04-04 08:34:50,3,1276,1251,22,0,0
重庆,2020-04-04 08:34:50,3,579,570,6,0,0
湖南,2020-04-04 08:34:50,1,1019,1014,4,0,0
江西,2020-04-04 08:34:50,1,937,935,1,0,0
贵州,2020-04-04 08:34:50,1,147,144,2,0,0
海南,2020-04-04 08:34:50,0,168,162,6,0,0
西藏,2020-04-04 08:34:50,0,1,1,0,0,0
安徽,2020-04-04 08:34:50,0,990,984,6,0,0
青海,2020-04-04 08:34:50,0,18,18,0,0,0
宁夏,2020-04-04 08:34:50,0,75,75,0,0,0
广西,2020-04-04 08:34:50,0,254,252,2,0,0
新疆,2020-04-04 08:34:50,0,76,73,3,0,0
