省份,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日治愈
台湾,2020-05-19 18:01:17,32,440,401,7,0,0
吉林,2020-05-19 18:01:17,26,151,123,2,5,0
香港,2020-05-19 18:01:17,26,1055,1025,4,0,0
内蒙古,2020-05-19 18:01:17,19,216,196,1,3,0
上海,2020-05-19 18:01:17,17,666,642,7,0,0
湖北,2020-05-19 18:01:17,7,68135,63616,4512,1,0
北京,2020-05-19 18:01:17,6,593,578,9,0,0
辽宁,2020-05-19 18:01:17,3,149,144,2,0,0
广东,2020-05-19 18:01:17,3,1590,1579,8,0,0
陕西,2020-05-19 18:01:17,2,308,303,3,0,0
天津,2020-05-19 18:01:17,2,192,187,3,0,0
海南,2020-05-19 18:01:17,1,169,162,6,0,0
山东,2020-05-19 18:01:17,1,788,780,7,0,0
新疆,2020-05-19 18:01:17,0,76,73,3,0,0
四川,2020-05-19 18:01:17,0,561,558,3,0,0
安徽,2020-05-19 18:01:17,0,991,985,6,0,0
重庆,2020-05-19 18:01:17,0,579,573,6,0,0
广西,2020-05-19 18:01:17,0,254,252,2,0,0
甘肃,2020-05-19 18:01:17,0,139,137,2,0,0
黑龙江,2020-05-19 18:01:17,0,945,932,13,0,0
福建,2020-05-19 18:01:17,0,356,355,1,0,0
云南,2020-05-19 18:01:17,0,185,183,2,0,0
浙江,2020-05-19 18:01:17,0,1268,1267,1,0,0
青海,2020-05-19 18:01:17,0,18,18,0,0,0
西藏,2020-05-19 18:01:17,0,1,1,0,0,0
湖南,2020-05-19 18:01:17,0,1019,1015,4,0,0
澳门,2020-05-19 18:01:17,0,45,45,0,0,0
山西,2020-05-19 18:01:17,0,198,198,0,0,0
贵州,2020-05-19 18:01:17,0,147,145,2,0,0
河南,2020-05-19 18:01:17,0,1276,1254,22,0,0
河北,2020-05-19 18:01:17,0,328,322,6,0,0
江苏,2020-05-19 18:01:17,0,653,653,0,0,0
宁夏,2020-05-19 18:01:17,0,75,75,0,0,0
江西,2020-05-19 18:01:17,0,937,936,1,0,0
